"Reserve","model","AICc","R.2","prediction_error","sensor_rfu","rfu_temp_corrected","fdom_qsu","turb","season","temp","X.Intercept.","fdom_qsu.sensor_rfu","fdom_qsu.temp","fdom_qsu.turb","sensor_rfu.temp","sensor_rfu.turb","fdom_qsu.sensor_rfu.turb","df","logLik"
"PDB","best_AIC",-1021.23,1,92.6,0.904,NA,-0.2145,-2.8195,"+",-0.1531,3.545,-0.1305,0.0271,0.1334,NA,-0.2515,0.1688,14,419.617218977032
"PDB","rfu_season",4.72,0.987,13.44,0.559,NA,NA,NA,"+",NA,0.752,NA,NA,NA,NA,NA,NA,6,10.6392147523285
"PDB","tc_rfu_season",2.75,0.988,13.18,NA,0.613,NA,NA,"+",NA,0.762,NA,NA,NA,NA,NA,NA,6,11.6242222934689
"PDB","no_fdom_ols",102.7,0.992,49.48,0.361,NA,NA,-0.039,"+",0.0292,0.554,NA,NA,NA,0.0122,0.1219,NA,10,13.6491385575817
"PDB","rfu_only",6.44,0.941,23.42,0.643,NA,NA,NA,NA,NA,0.951,NA,NA,NA,NA,NA,NA,3,1.11337765129147
"PDB","tc_rfu_only",5.03,0.947,22.16,NA,0.699,NA,NA,NA,NA,0.948,NA,NA,NA,NA,NA,NA,3,1.81600795320638
"SAP","best_AIC",141.16,0.561,53.51,1.146,NA,NA,0.1303,"+",NA,0.195,NA,NA,NA,NA,-0.0346,NA,7,-62.1042967320551
"SAP","rfu_season",162.95,0.207,62.42,0.244,NA,NA,NA,"+",NA,2.718,NA,NA,NA,NA,NA,NA,5,-75.7235401204648
"SAP","tc_rfu_season",163.68,0.194,63,NA,0.197,NA,NA,"+",NA,2.84,NA,NA,NA,NA,NA,NA,5,-76.0916638719153
"SAP","no_fdom_ols",145.89,0.574,56.58,1.058,NA,NA,0.1482,"+",0.0965,-1.384,NA,NA,NA,0.0074,-0.039,NA,9,-61.4444323924189
"SAP","rfu_only",162.66,0.122,64.05,0.248,NA,NA,NA,NA,NA,2.49,NA,NA,NA,NA,NA,NA,3,-78.0457647199958
"SAP","tc_rfu_only",163.2,0.112,64.62,NA,0.204,NA,NA,NA,NA,2.605,NA,NA,NA,NA,NA,NA,3,-78.3143999345154
